0:(18,26),(29,21),(18,24),(14,7),(27,29),(20,27),(28,13),(18,0),(10,28),(29,10),
1:(17,26),(29,22),(18,25),(14,6),(27,28),(19,27),(27,13),(19,0),(10,27),(29,9),
2:(16,26),(28,22),(18,26),(13,6),(27,27),(18,27),(27,12),(20,0),(11,27),(29,8),
3:(15,26),(27,22),(17,26),(12,6),(28,27),(17,27),(27,11),(20,1),(12,27),(28,8),
4:(15,25),(26,22),(16,26),(12,5),(29,27),(16,27),(26,11),(20,2),(12,26),(28,7),
5:(14,25),(25,22),(15,26),(12,4),(29,26),(15,27),(25,11),(20,3),(12,25),(28,6),
6:(14,24),(24,22),(15,25),(11,4),(29,25),(14,27),(25,10),(20,4),(12,24),(28,5),
7:(14,23),(23,22),(14,25),(11,3),(29,24),(13,27),(24,10),(20,5),(12,23),(28,4),
8:(14,22),(22,22),(13,25),(11,2),(29,23),(12,27),(24,9),(20,6),(12,23),(28,3),
9:(13,22),(21,22),(13,24),(11,1),(29,22),(11,27),(23,9),(20,7),(12,23),(27,3),
10:(13,21),(20,22),(12,24),(11,0),(29,21),(10,27),(22,9),(20,8),(12,23),(26,3),
11:(12,21),(20,23),(12,23),(11,0),(30,21),(9,27),(21,9),(20,9),(11,23),(25,3),
12:(11,21),(19,23),(11,23),(11,0),(30,20),(9,28),(21,8),(20,10),(10,23),(24,3),
13:(10,21),(19,24),(11,22),(11,0),(30,19),(8,28),(20,8),(21,10),(11,23),(23,3),
14:(10,20),(19,25),(11,21),(11,0),(30,19),(8,29),(19,8),(21,11),(12,23),(22,3),
15:(9,20),(18,25),(11,20),(11,0),(30,19),(8,30),(19,7),(21,12),(12,23),(21,3),
16:(9,19),(17,25),(10,20),(11,0),(30,19),(8,31),(18,7),(21,13),(12,23),(21,2),
17:(9,18),(17,26),(9,20),(11,0),(30,19),(7,31),(17,7),(21,14),(12,23),(20,2),
18:(8,18),(17,27),(9,19),(11,0),(30,19),(6,31),(16,7),(21,15),(12,23),(19,2),
19:(7,18),(16,27),(8,19),(11,0),(30,19),(5,31),(15,7),(21,16),(12,23),(18,2),
20:(7,17),(16,28),(7,19),(11,0),(30,19),(5,31),(14,7),(21,17),(12,23),(18,1),
21:(7,16),(16,29),(7,18),(11,0),(30,19),(5,31),(13,7),(21,18),(12,23),(17,1),
22:(7,15),(16,30),(7,17),(11,0),(30,19),(5,31),(12,7),(20,18),(12,23),(16,1),
23:(6,15),(15,30),(6,17),(11,0),(30,19),(5,31),(11,7),(20,19),(12,23),(15,1),
24:(6,14),(14,30),(5,17),(11,0),(30,19),(5,31),(10,7),(20,20),(12,23),(14,1),
25:(6,13),(13,30),(4,17),(11,0),(30,19),(5,31),(9,7),(20,21),(12,23),(13,1),
26:(6,12),(13,31),(4,16),(11,0),(30,19),(5,31),(8,7),(20,22),(12,23),(12,1),
27:(5,12),(12,31),(3,16),(11,0),(30,19),(5,31),(8,6),(20,23),(12,23),(11,1),
28:(4,12),(11,31),(3,15),(11,0),(30,19),(5,31),(8,6),(20,24),(12,23),(10,1),
29:(3,12),(10,31),(2,15),(11,0),(30,19),(5,31),(8,6),(20,25),(12,23),(9,1),
30:(3,12),(9,31),(2,14),(11,0),(30,19),(5,31),(8,6),(21,25),(12,23),(8,1),
31:(3,12),(8,31),(1,14),(11,0),(30,19),(5,31),(8,6),(22,25),(12,23),(8,0),
32:(3,12),(7,31),(0,14),(11,0),(30,19),(5,31),(8,6),(22,26),(12,23),(7,0),
33:(3,12),(6,31),(0,14),(11,0),(30,19),(5,31),(8,6),(22,27),(12,23),(6,0),
34:(3,12),(5,31),(0,14),(11,0),(30,19),(4,31),(8,6),(22,28),(12,23),(6,0),
35:(3,12),(4,31),(0,14),(11,0),(30,19),(4,30),(8,6),(23,28),(12,23),(6,0),
36:(3,12),(3,31),(0,14),(11,0),(30,19),(4,31),(8,6),(24,28),(12,23),(6,0),
37:(3,12),(2,31),(0,14),(11,0),(30,19),(5,31),(8,6),(24,29),(12,23),(6,0),
38:(3,12),(2,31),(0,14),(11,0),(30,19),(5,31),(8,6),(25,29),(12,23),(6,0),
